"","arrived","campground","city","state","type","price"
"211",2015-07-05,"Winslow City Park","Freeport","Maine","OtherGov",35
"212",2015-07-12,"Camden Hills State Park","Camden","Maine","State",25
"213",2015-07-19,"Narrows Too","Trenton","Maine","Private",50
"214",2015-08-01,"Salty Acres Campground","Kennebunkport","Maine","Private",44
"215",2015-08-08,"Falmouth Walmart","Falmouth","Maine","Private",0
"216",2015-08-15,"Pine Hollow Campground","Laconia","New Hampshire","Private",35
"217",2015-08-22,"Moose Brook State Park","Gorham","New Hampshire","State",25
"218",2015-08-29,"Driveway - Jeffersonville","Cambridge","Vermont","Private",0
"219",2015-08-30,"Driveway - Shelburne","Shelburne","Vermont","Private",0
"220",2015-09-07,"Driveway - Cambridge","Cambridge","Vermont","Private",0
"221",2015-09-26,"Moreau State Park","Gansevoort","New York","State",26
"222",2015-09-27,"Glimmerglass State Park","Cooperstown","New York","State",17
"223",2015-10-01,"Bald Eagle State Park","Howard","Pennsylvania","State",27
"224",2015-10-03,"Battle Run Campground","Summersville","West Virginia","Federal",30
"225",2015-10-09,"Walmart Morehead","Morehead","Kentucky","Private",0
"226",2015-10-10,"Twin Knobs Campground","Clearfield","Kentucky","Federal",29
"227",2015-10-15,"Kentucky Horse Park","Lexington","Kentucky","State",20
"228",2015-10-24,"Mammoth Cave Campground","Mammoth Cave","Kentucky","Federal",20
"229",2015-10-25,"Pulaski County Park","Nancy","Kentucky","OtherGov",19
"230",2015-10-28,"Standing Stone State Park","Overton County","Tennessee","State",20
"231",2015-10-31,"Bear Creek RV & Campground","Asheville","North Carolina","Private",40
"232",2015-11-03,"Elmore RV Park","Charlotte","North Carolina","Private",32
"233",2015-11-07,"Smokemont Campground","Cherokee","North Carolina","Federal",17
"234",2015-11-08,"Douglas Dam Headwater Campground","Sevierville","Tennessee","Federal",25
"235",2015-11-11,"Fall Creek Falls State Park","Pikeville","Tennessee","State",20
"236",2015-11-15,"Rock Island State Park","Rock Island","Tennessee","State",23
"237",2015-11-21,"Edgar Evins State Park","Silver Point","Tennessee","State",23
"238",2015-11-25,"Grand Ole RV Resort","Goodlettsville","Tennessee","Private",35
"239",2015-11-28,"Jeff Busby Campground","Ackerman","Mississippi","Federal",0
"240",2015-11-29,"Indian Creek","Woodworth","Louisiana","State",18
"241",2015-12-02,"Martin Dies Jr State Park","Jasper","Texas","State",24
"242",2015-12-07,"Yegua Creek Park","Brenham","Texas","Federal",25
"243",2015-12-09,"Wallmart - Kerrville","Kerrville","Texas","Private",0
"244",2015-12-10,"Caverns of Sonora","Sonora","Texas","Private",20
"245",2015-12-11,"Camping World","Anthony","Texas","Private",0
"246",2015-12-12,"SKP Saguaro Co-Op","Benson","Arizona","Private",8
"247",2016-01-10,"Kofa Wilderness","Quartzsite","Arizona","Federal",0
"248",2016-01-29,"Casino Arizona","Scottsdale","Arizona","Private",0
"249",2016-02-07,"Joshua Tree South","Riverside County","California","Federal",0
"250",2016-02-13,"Tortoise Rock Casino","Twentynine Palms","California","Private",0
"251",2016-02-14,"Mojave Bookdocking","San Bernardino County","California","Federal",0
"252",2016-02-28,"Stewarts Point","Clark County","Nevada","Federal",0
"253",2016-03-06,"Sand Hollow State Park","Hurricane","Utah","State",28
"254",2016-03-13,"Virgin Boondocking","La Verkin","Utah","Federal",0
"255",2016-03-20,"North Campground","Bryce","Utah","Federal",30
"256",2016-03-26,"Spencer Flat Rd","Garfield County","Utah","Federal",0
"257",2016-04-03,"Thousand Lakes RV Park","Torrey","Utah","Private",34
"258",2016-04-09,"Willow Springs Trail","Moab","Utah","Federal",0
"259",2016-04-16,"Dalton Well Road","Moab","Utah","Federal",0
"260",2016-04-29,"Horsethief Campground","Grand County","Utah","Federal",15
"261",2016-05-01,"25 Road","Grand Junction","Colorado","Federal",0
"262",2016-05-06,"Walmart - Craig","Craig","Colorado","Private",0
"263",2016-05-07,"Walmart - Casper","Casper","Wyoming","Private",0
"264",2016-05-08,"Belle Fourche River Campground","Devils Tower","Wyoming","Federal",12
"265",2016-05-11,"Spearfish Campground","Spearfish","South Dakota","OtherGov",25
"266",2016-05-15,"Cottonwood Campground","Medora","North Dakota","Federal",14
"267",2016-05-19,"Fort Abraham Lincoln State Park","Mandan","North Dakota","State",23
"268",2016-05-22,"Buffalo River State Park","Glyndon","Minnesota","State",37
"269",2016-05-27,"Cass Lake Campground","Cass Lake","Minnesota","Federal",21
"270",2016-06-10,"Deer Lake Campground","Deer River","Minnesota","Federal",16
"271",2016-06-11,"Scenic State Park","Bigfork","Minnesota","State",21
"272",2016-06-12,"Wooden Frog Campground","Ray","Minnesota","State",14
"273",2016-06-17,"Grassy Island South","Ray","Minnesota","Federal",25
"274",2016-06-19,"Arnold's Campground","International Falls","Minnesota","Private",32
"275",2016-06-20,"Kakabeka Falls Provincial Park","Kakabeka Falls","Ontario","State",32
"276",2016-06-21,"Rainbow Falls Provincial Park","Rossport","Ontario","State",32
"277",2016-06-22,"Neys Provincial Park","Marathon","Ontario","State",28
"278",2016-06-23,"Pukaskwa National Park","Unorganized Thunder Bay District","Ontario","Federal",32
"279",2016-06-24,"Lake Superior Provincial Park","Algoma","Unorganized, North Part, Ontario","State",32
"280",2016-06-25,"OLG Casino","Sault Ste. Marie","Ontario","Private",0
"281",2016-06-26,"Walmart - Renfrew","Renfrew","Ontario","Private",0
"282",2016-06-27,"Voyageurs Provincial Park","Chute-à-Blondeau","Ontario","State",38
"283",2016-06-29,"Narrows Too Camping Resort","Trenton","Maine","Private",37
"284",2016-08-05,"Steele Hill Resort","Sanbornton","New Hampshire","Private",0
"285",2016-08-12,"Cambridge Friends","Cambridge","Vermont","Private",0
"286",2016-10-01,"Nickerson State Park","Brewster","Massachusetts","State",27
"287",2016-10-08,"Coastal Acres Campground","Provincetown","Massachusetts","Private",52
"288",2016-10-16,"Fishermans Memorial Park","Narragansett","Rhode Island","State",25
"289",2016-10-24,"Mohegan Sun Casino","Montville","Connecticut","Private",0
"290",2016-10-25,"Middletown Driveway","Middletown","Connecticut","Private",0
"291",2016-10-27,"Northford Driveway","Northford","Connecticut","Private",0
"292",2016-11-06,"Westmoreland State Park","Montross","Virginia","State",35
"293",2016-11-13,"Flanners Beach Campground","New Bern","North Carolina","Federal",17
"294",2016-11-27,"Camping World Racing Resort","Concord","North Carolina","Private",25
"295",2016-12-03,"Walmart - Hazlehurst","Hazlehurst","Georgia","Private",0
"296",2016-12-04,"O'leno State Park","High Springs","Florida","State",18
"297",2016-12-10,"Juniper Springs","Astor","Florida","Federal",21
"298",2016-12-11,"Dupuis Campground","Indiantown","Florida","State",0
"299",2016-12-17,"Miccosukee Casino","Miami","Florida","Private",0
"300",2017-01-01,"House Rental","Big Pine Key","Florida","Private",110
"301",2017-03-31,"Home Depot","Florida City","Florida","Private",0
"302",2017-04-01,"Flamingo Campground","Homestead","Florida","Federal",30
"303",2017-04-02,"Koreshan State Park","Estero","Florida","State",26
"304",2017-04-08,"Cracker Barrel","Punta Gorda","Florida","Private",0
"305",2017-04-09,"Hillsborough River State Park","Thonotosassa","Florida","State",27
"306",2017-04-15,"Lazydays RV Resort","Seffner","Florida","Private",49
"307",2017-04-16,"Florida Caverns State Park","Marianna","Florida","State",20
"308",2017-04-21,"Walmart - Monroeville","Monroeville","Alabama","Private",0
"309",2017-04-22,"Walmart - McGehee","McGehee","Arkansas","Private",0
"310",2017-04-23,"Gulpha Gorge Campground","Hot Springs Township","Arkansas","Federal",30
"311",2017-04-30,"Petit Jean State Park","Morrilton","Arkansas","State",20
"312",2017-05-04,"Vine Prairie Park","Mulberry","Arkansas","OtherGov",20
"313",2017-05-06,"Ozark Highlands","Springfield","Missouri","Private",40
"314",2017-05-12,"Hawker Point Campground","Stockton","Missouri","Federal",14
"315",2017-05-14,"Private Residence","Baldwin City","Kansas","Private",0
"316",2017-05-20,"Arbys","Limon","Colorado","Private",0
"317",2017-05-21,"Clear Creek RV Park","Golden","Colorado","OtherGov",40
"318",2017-05-27,"Friends House","Idaho Springs","Colorado","Private",0
"319",2017-06-11,"Forest Rd 296","Steamboat Springs","Colorado","Federal",0
"320",2017-06-18,"Sweetwater Event Complex","Rock Springs","Wyoming","OtherGov",25
"321",2017-06-24,"12th St","Evanston","Wyoming","Private",0
"322",2017-06-25,"National Forest Rd 281","Irwin","Idaho","Federal",0
"323",2017-07-04,"Teton Canyon Rd","Moose","Wyoming","Federal",0
"324",2017-07-22,"Lava Flow Campground","Arco","Idaho","Federal",15
"325",2017-07-23,"Boundry Campground","Hailey","Idaho","Federal",10
"326",2017-07-27,"Lake Creek Road","Hailey","Idaho","Federal",0
"327",2017-08-05,"Stanley Boondocking 1","Stanley","Idaho","Federal",0
"328",2017-08-25,"Stanley Boondocking 2","Stanley","Idaho","Federal",0
"329",2017-09-02,"Boise Riverside RV Park","Garden City","Idaho","Private",0
"330",2017-09-09,"Burley Walmart","Heyburn","Idaho","Private",0
"331",2017-09-10,"Spruces Campground","Salt Lake City","Utah","Federal",23
"332",2017-09-17,"Jordanelle State Park","Heber City","Utah","State",30
"333",2017-09-24,"Wedge Overlook Campsite #2","Emery County","Utah","Federal",0
"334",2017-09-29,"San Rafael Swell","Emery County","Utah","Federal",0
"335",2017-10-01,"Beas Lewis Flat","Torrey","Utah","Federal",0
"336",2017-10-06,"Burr Trail Rd","Boulder","Utah","Federal",0
"337",2017-10-07,"Hole in the Rock","Escalante","Utah","Federal",0
"338",2017-10-15,"Rubys RV Park","Bryce","Utah","Private",32
"339",2017-10-22,"Twin Hollow","Kane County","Utah","Federal",0
"340",2017-10-29,"Lee's Ferry Campground","Marble Canyon","Arizona","Federal",20
"341",2017-11-03,"Forest Rd 225","North Rim","Arizona","Federal",0
"342",2017-11-05,"Sheep Bridge Rd","La Verkin","Utah","Federal",0
"343",2017-11-18,"Watchman Campground","Hurricane","Utah","Federal",30
"344",2017-12-03,"Temple View RV Resort","St. George","Utah","Private",36
"345",2017-12-08,"Storage","St. George","Utah","Private",5
"346",2017-12-28,"Eureka Casino Resort","Mesquite","Nevada","Private",0
"347",2017-12-29,"Dome Rock Rd","Quartzsite","Arizona","Federal",0
"348",2017-12-30,"Palm Canyon Rd","Yuma","Arizona","Federal",0
"349",2018-02-04,"Twin Peaks Campground - Organ Pipe","Ajo","Arizona","Federal",16
"350",2018-02-16,"Viejas Casino","Alpine","California","Private",0
"351",2018-02-17,"Surf and Turf RV Park","Del Mar","California","Private",32
"352",2018-02-25,"South Carlsbad State Beach","Carlsbad","California","State",50
"353",2018-03-01,"San Clemente State Beach","San Clemente","California","State",65
"354",2018-03-05,"Doheny State Beach","Dana Point","California","State",40
"355",2018-03-11,"Thronhill Broome State Beach","Malibu","California","State",35
"356",2018-03-15,"Camarillo AirBnB","Camarillo","California","Private",83
"357",2018-03-30,"Castaic Lake","Castaic","California","State",20
"358",2018-03-31,"Auxiliary Dam Campground","Lake Isabella","California","Federal",0
"359",2018-04-11,"Paradise Cove","Lake Isabella","California","Federal",28
"360",2018-04-14,"Three Rivers Campground","Three Rivers","California","State",45
"361",2018-04-17,"Horse Creek Campground","Lemon Cove","California","Federal",20
"362",2018-04-22,"Azalea Campground","Hume","California","Federal",18
