Arrived	Location	Type and Price	Details
Apr 22 2018	Azalea Campground
Ray, Minnesota	State Forest Campground
$14	
Jun 11 2016	Scenic State Park
Bigfork, Minnesota	State Park
$21	
Jun 10 2016	Deer Lake Campground
Deer River, Minnesota	National Forest
$16	
May 27 2016	Cass Lake Campground
Cass Lake, Minnesota	National Forest
$21	
May 22 2016	Buffalo River State Park
Glyndon, Minnesota	State Park
$37	
May 19 2016	Fort Abraham Lincoln State Park
Mandan, North Dakota	State Park
$23	
May 15 2016	Cottonwood Campground
Medora, North Dakota	National Park
$14	
May 11 2016	Spearfish Campground
Spearfish, South Dakota	City Park
$25	
May 8 2016	Belle Fourche River Campground
Devils Tower, Wyoming	National Park
$12	
May 7 2016	Walmart - Casper
Casper, Wyoming	Parking Lot
$0	
May 6 2016	Walmart - Craig
Craig, Colorado	Parking Lot
$0	
May 1 2016	25 Road
Grand Junction, Colorado	BLM Boondocking
$0	
Apr 29 2016	Horsethief Campground
Grand County, Utah	BLM Campground
$15	
Apr 16 2016	Dalton Well Road
Moab, Utah	BLM Boondocking
$0	
Apr 9 2016	Willow Springs Trail
Moab, Utah	BLM Boondocking
$0	
Apr 3 2016	Thousand Lakes RV Park
Torrey, Utah	Private RV Park
$34	
Mar 26 2016	Spencer Flat Rd
Garfield County, Utah	BLM Boondocking
$0	
Mar 20 2016	North Campground
Bryce, Utah	National Park
$30	
Mar 13 2016	Virgin Boondocking
La Verkin, Utah	BLM Boondocking
$0	
Mar 6 2016	Sand Hollow State Park
Hurricane, Utah	State Park
$28	
Feb 28 2016	Stewarts Point
Clark County, Nevada	National Park Boondocking
$0	
Feb 20 2016	Lake Mead Boondocking
Boulder City, Nevada	National Park Boondocking
$0	
Feb 14 2016	Mojave Bookdocking
San Bernardino County, California	National Park Boondocking
$0	
Feb 13 2016	Tortoise Rock Casino
Twentynine Palms, California	Parking Lot
$0	
Feb 7 2016	Joshua Tree South
Riverside County, California	BLM Boondocking
$0	
Jan 31 2016	Kofa Wilderness
Quartzsite, Arizona	BLM Boondocking
$0	
Jan 29 2016	Casino Arizona
Scottsdale, Arizona	Parking Lot
$0	
Jan 10 2016	Kofa Wilderness
Quartzsite, Arizona	BLM Boondocking
$0	
Jan 3 2016	American Girl Mine Rd
Winterhaven, California	BLM Boondocking
$0	
Dec 26 2015	Anza Borrego Boondocking
Borrego Springs, California	State Park Boondocking
$0	
Dec 19 2015	Gilbert Ray Campground
Tucson, Arizona	County Park
$20	
Dec 12 2015	SKP Saguaro Co-Op
Benson, Arizona	Private RV Park
$8	
Dec 11 2015	Camping World
Anthony, Texas	Parking Lot
$0	
Dec 10 2015	Caverns of Sonora
Sonora, Texas	Private RV Park
$20	
Dec 9 2015	Wallmart - Kerrville
Kerrville, Texas	Parking Lot
$0	
Dec 7 2015	Yegua Creek Park
Brenham, Texas	Army Corps of Engineers
$25	
Dec 2 2015	Martin Dies Jr State Park
Jasper, Texas	State Park
$24	
Nov 29 2015	Indian Creek
Woodworth, Louisiana	State Park
$18	
Nov 28 2015	Jeff Busby Campground
Ackerman, Mississippi	National Park
$0	
Nov 25 2015	Grand Ole RV Resort
Goodlettsville, Tennessee	Private RV Park
$35	
Nov 21 2015	Edgar Evins State Park
Silver Point, Tennessee	State Park
$23	
Nov 15 2015	Rock Island State Park
Rock Island, Tennessee	State Park
$23	
Nov 11 2015	Fall Creek Falls State Park
Pikeville, Tennessee	State Park
$20	
Nov 8 2015	Douglas Dam Headwater Campground
Sevierville, Tennessee	Tennessee Valley Authority
$25	
Nov 7 2015	Smokemont Campground
Cherokee, North Carolina	National Park
$17	
Nov 3 2015	Elmore RV Park
Charlotte, North Carolina	Private RV Park
$32	
Oct 31 2015	Bear Creek RV & Campground
Asheville, North Carolina	Private RV Park
$40	
Oct 28 2015	Standing Stone State Park
Overton County, Tennessee	State Park
$20	
Oct 25 2015	Pulaski County Park
Nancy, Kentucky	County Park
$19	
Oct 24 2015	Mammoth Cave Campground
Mammoth Cave, Kentucky	National Park
$20	
Oct 15 2015	Kentucky Horse Park
Lexington, Kentucky	State Park
$20	
Oct 10 2015	Twin Knobs Campground
Clearfield, Kentucky	National Forest
$29	
Oct 9 2015	Walmart Morehead
Morehead, Kentucky	Parking Lot
$0	
Oct 3 2015	Battle Run Campground
Summersville, West Virginia	Army Corps of Engineers
$30	
Oct 1 2015	Bald Eagle State Park
Howard, Pennsylvania	State Park
$27	
Sep 30 2015	Walmart
Mill Hall, Pennsylvania	Parking Lot
$0	
Sep 27 2015	Glimmerglass State Park
Cooperstown, New York	State Park
$17	
Sep 26 2015	Moreau State Park
Gansevoort, New York	State Park
$26	
Sep 17 2015	Driveway - Jeffersonville
Cambridge, Vermont	Private Residence
$0	
Sep 7 2015	Driveway - Cambridge
Cambridge, Vermont	Private Residence
$0	
Aug 30 2015	Driveway - Shelburne
Shelburne, Vermont	Private Residence
$0	
Aug 29 2015	Driveway - Jeffersonville
Cambridge, Vermont	Private Residence
$0	
Aug 22 2015	Moose Brook State Park
Gorham, New Hampshire	State Park
$25	
Aug 15 2015	Pine Hollow Campground
Laconia, New Hampshire	Private RV Park
$35	
Aug 14 2015	Cabela's Retail Store
Scarborough, Maine	Parking Lot
$0	
Aug 9 2015	Winslow City Park
Freeport, Maine	City Park
$35	
Aug 8 2015	Falmouth Walmart
Falmouth, Maine	Parking Lot
$0	
Aug 1 2015	Salty Acres Campground
Kennebunkport, Maine	Private RV Park
$44	
Jul 19 2015	Narrows Too
Trenton, Maine	Private RV Park
$50	
Jul 12 2015	Camden Hills State Park
Camden, Maine	State Park
$25	
Jul 5 2015	Winslow City Park
Freeport, Maine	City Park
$35	
Jun 28 2015	Cape Ann Camp Site
Gloucester, Massachusetts	Private RV Park
$32	
Jun 14 2015	Killingworth back yard
Killingworth, Connecticut	Private Residence
$0	
Jun 4 2015	Lums Pond State Park
Bear, Delaware	State Park
$27	
Jun 2 2015	Tuckahoe State Park
Ridgely, Maryland	State Park
$33	
May 25 2015	Greenbelt Park
Greenbelt, Maryland	National Park
$16	
May 21 2015	DelFest (Bluegrass Festival)
Cumberland, Maryland	County Park
$31	
May 17 2015	Rocky Gap State Park
Cumberland, Maryland	State Park
$23	
May 10 2015	Virgnia Highland Haven Airstream Park
Copper Hill, Virginia	Private RV Park
$27	
May 3 2015	First Landing State Park
Virginia Beach, Virginia	State Park
$38	
Apr 26 2015	Ocean Waves Campground
Nags Head, North Carolina	Private RV Park
$37	
Apr 25 2015	Cape Hatteras National Seashore
Frisco, North Carolina	National Park
$20	
Apr 19 2015	Private Property
Hubert, North Carolina	Private Residence
$0	
Apr 12 2015	McDowell Nature Preserve
Charlotte, North Carolina	County Park
$33	
Apr 3 2015	Private Property
Hubert, North Carolina	Private Residence
$0	
Mar 29 2015	Private Property
McClellanville, South Carolina	Private Residence
$0	
Mar 28 2015	Charleston SC Visitors Center
Charleston, South Carolina	Parking Lot
$16	
Mar 22 2015	Skidaway Island State Park
Savannah, Georgia	State Park
$39	
Mar 21 2015	Savannah GA Visitors Center
Savannah, Georgia	Parking Lot
$14	
Mar 15 2015	Blythe Island Regional Park
Brunswick, Georgia	County Park
$32	
Mar 14 2015	St Marys Walmart
Kingsland, Georgia	Parking Lot
$0	
Mar 7 2015	Anastasia State Park
Saint Augustine, Florida	State Park
$28	
Feb 28 2015	Bill Frederick Park
Orlando, Florida	County Park
$19	
Feb 22 2015	John Prince Park
Lake Worth, Florida	County Park
$31	
Feb 15 2015	Driveway - Big Pine Key
Big Pine Key, Florida	Private Residence
$0	
Feb 8 2015	Long Key State Park
Layton, Florida	State Park
$38	
Feb 6 2015	Driveway - Big Pine Key
Big Pine Key, Florida	Private Residence
$0	
Jan 25 2015	Bahia Honda State Park
Big Pine Key, Florida	State Park
$38	
Jan 18 2015	Driveway - Big Pine Key
Big Pine Key, Florida	Private Residence
$0	
Jan 11 2015	Long Key State Park
Layton, Florida	State Park
$38	
Dec 28 2014	Driveway - Big Pine Key
Big Pine Key, Florida	Private Residence
$0	
Dec 27 2014	Miccosukee Resort
Miami, Florida	Parking Lot
$0	
Dec 24 2014	Driveway - Lake Placid
Lake Placid, Florida	Private Residence
$0	
Dec 14 2014	Highlands Hammock State Park
Sebring, Florida	State Park
$24	
Dec 13 2014	St George Island State Park
Franklin County, Florida	State Park
$24	
Nov 30 2014	Saint Andrews State Park
Panama City, Florida	State Park
$28	
Nov 23 2014	Grayton Beach State Park
Santa Rosa Beach, Florida	State Park
$25	
Nov 16 2014	Gulf State Park
Orange Beach, Alabama	State Park
$29	
Nov 9 2014	Bayou Segnette State Park
Westwego, Louisiana	State Park
$20	
Nov 3 2014	Palmetto Island State Park
Abbeville, Louisiana	State Park
$18	
Nov 2 2014	Baytown Walmart
Baytown, Texas	Parking Lot
$0	
Oct 25 2014	Houston Airport Parking
Houston, Texas	Parking Lot
$6	
Oct 24 2014	Houston Walmart
Humble, Texas	Parking Lot
$0	
Oct 19 2014	McKinney Falls State Park
Austin, Texas	State Park
$27	
Oct 12 2014	Austin Lone Start RV Resort
Austin, Texas	Private RV Park
$36	
Oct 11 2014	Walmart San Angelo
San Angelo, Texas	Parking Lot
$0	
Oct 7 2014	Bottomless Lake State Park
Roswell, New Mexico	State Park
$14	
Oct 3 2014	Albuquerque Balloon Fiesta
Albuquerque, New Mexico	Parking Lot
$70	
Oct 2 2014	Route 66 Casino
Albuquerque, New Mexico	Parking Lot
$0	
Sep 28 2014	Santa Fe Skies
Santa Fe, New Mexico	Private RV Park
$40	
Sep 21 2014	Los Alamos Boondocking
Los Alamos, New Mexico	National Forest Boondocking
$0	
Sep 14 2014	Pinyon Flats Campground
Mosca, Colorado	National Park
$20	
Sep 8 2014	Pikes Peak RV Park
Manitou Springs, Colorado	Private RV Park
$34	
Sep 7 2014	Salida Boondocking
Salida, Colorado	BLM Boondocking
$0	
Sep 1 2014	Telluride Town Park
Telluride, Colorado	City Park
$30	
Aug 31 2014	Lizard Head Pass
Ophir, Colorado	National Forest Boondocking
$0	
Aug 24 2014	James Robb State Park
Fruita, Colorado	State Park
$27	
Aug 23 2014	Green River Campground
Jensen, Utah	National Park
$12	
Aug 22 2014	Steamboat Springs 
Steamboat Springs, Colorado	Parking Lot
$0	
Aug 17 2014	Rabbit Pass Boondocking
Steamboat Springs, Colorado	National Forest Boondocking
$0	
Aug 10 2014	Bear Creek Lake Park
Lakewood, Colorado	County Park
$20	
Aug 3 2014	Peak One Campground
Breckenridge, Colorado	National Forest
$18	
Jul 27 2014	Leadville Boondocking
Leadville, Colorado	National Forest Boondocking
$0	
Jul 13 2014	Crested Butte Boondocking
Crested Butte, Colorado	National Forest Boondocking
$0	
Jul 6 2014	Silverton Lakes Campground
Silverton, Colorado	Private RV Park
$25	
Jun 28 2014	Westerly RV Park
Durango, Colorado	Private RV Park
$40	
Jun 14 2014	Forest Service Rd 316
Hesperus, Colorado	National Forest Boondocking
$0	
Jun 8 2014	Heron Lake State Park
Los Ojos, New Mexico	State Park
$10	
Jun 6 2014	Street Parking, Red River, NM
Red River, New Mexico	Parking Lot
$0	
Jun 1 2014	Taos Valley RV Park
Taos, New Mexico	Private RV Park
$33	
May 31 2014	Juniper Campground
Los Alamos, New Mexico	National Park
$12	
May 26 2014	Cochiti Lake Recreation Area
Sandoval County, New Mexico	Army Corps of Engineers
$6	
May 18 2014	Santa Fe Skies RV Park
Santa Fe, New Mexico	Private RV Park
$32	
May 17 2014	Valley of Fires Recreation Area
Carrizozo, New Mexico	BLM Campground
$12	
May 11 2014	Bottomless Lakes State Park
Roswell, New Mexico	State Park
$14	
May 9 2014	Brantley Lake State Park
Artesia, New Mexico	State Park
$8	
May 3 2014	Cloudcroft Boondocking
Cloudcroft, New Mexico	National Forest Boondocking
$0	
Apr 27 2014	Oliver Lee Memorial State Park
Alamogordo, New Mexico	State Park
$10	
Apr 19 2014	Enchanted Trails RV Park
Albuquerque, New Mexico	Private RV Park
$30	
Apr 13 2014	Elephant Butte State Park
Truth or Consequences, New Mexico	State Park
$14	
Apr 6 2014	Caballo Lake State Park
Caballo, New Mexico	State Park
$8	
Mar 30 2014	Leasburg Dam State Park
Las Cruces, New Mexico	State Park
$10	
Mar 29 2014	Walmart Las Cruces
Las Cruces, New Mexico	Parking Lot
$0	
Mar 23 2014	Rock Hound State Park
Deming, New Mexico	State Park
$14	
Mar 16 2014	City of Rocks State Park
Faywood, New Mexico	State Park
$10	
Mar 15 2014	Walmart Deming
Deming, New Mexico	Parking Lot
$0	
Mar 9 2014	Indian Bread Rocks
Bowie, Arizona	BLM Boondocking
$0	
Mar 2 2014	Queen Mine RV Park
Bisbee, Arizona	Private RV Park
$25	
Feb 23 2014	Las Cienegas Boondocking
Elgin, Arizona	BLM Boondocking
$0	
Feb 17 2014	Gilbert Ray Campground
Tucson, Arizona	County Park
$20	
Feb 8 2014	McDowell Mountain Regional Park
Scottsdale, Arizona	County Park
$25	
Jan 26 2014	Usery Mountain Regional Park
Mesa, Arizona	County Park
$25	
Jan 18 2014	Quartzsite Boondocking
Quartzsite, Arizona	BLM Boondocking
$0	
Dec 29 2013	Anza Borrego Boondocking
Borrego Springs, California	State Park Boondocking
$0	
Dec 1 2013	Mission Bay RV Resort
San Diego, California	Private RV Park
$28	
Nov 9 2013	Lake Mead Boondocking
Boulder City, Nevada	National Park Boondocking
$0	
Nov 3 2013	Tuttle Creek Campground
Inyo County, California	BLM Campground
$5	
Oct 31 2013	Alabama Hill Boondocking
Inyo County, California	BLM Boondocking
$0	
Oct 26 2013	Tuttle Creek Campground
Inyo County, California	BLM Campground
$5	
Oct 13 2013	Bishop Boondocking
Bishop, California	BLM Boondocking
$0	
Oct 10 2013	Mammoth Boondocking
Mammoth Lakes, California	National Forest Boondocking
$0	
Oct 6 2013	June Lake Boondocking
Mono County, California	National Park Boondocking
$0	
Oct 4 2013	Washoe Lake State Park
New Washoe City, Nevada	State Park
$17	
Sep 29 2013	Eagle Lake
Susanville, California	BLM Boondocking
$0	
Sep 27 2013	Diamond Lake Campground
Crescent, Oregon	National Forest
$22	
Sep 15 2013	Bend Boondocking
Bend, Oregon	National Forest Boondocking
$0	
Sep 14 2013	Bend Boondocking
Bend, Oregon	National Forest Boondocking
$0	
Sep 7 2013	Memaloose State Park
Mosier, Oregon	State Park
$19	
Sep 6 2013	Cabela's Retail Store
Post Falls, Idaho	Parking Lot
$0	
Sep 3 2013	Apgar Campground
West Glacier, Montana	National Park
$20	
Sep 1 2013	Fish Creek Campground
West Glacier, Montana	National Park
$23	
Aug 29 2013	Tunnel mountain Campground
Improvement District No. 9, Alberta	National Park
$34	
Aug 27 2013	Illecillewaet Campground
Columbia-Shuswap A, British Columbia	National Park
$17	
Aug 25 2013	West Bay Beach Resort
West Kelowna, British Columbia	Private RV Park
$57	
Aug 17 2013	Private Property
Tonasket, Washington	Private Residence
$0	
Aug 16 2013	13 Mile Campground
Republic, Washington	National Forest
$0	
Aug 11 2013	Private Property
Tonasket, Washington	Private Residence
$0	
Aug 10 2013	Northern Quest Resort & Casino
Spokane, Washington	Parking Lot
$0	
Aug 4 2013	Jim & Mary's RV Park
Missoula, Montana	Private RV Park
$34	
Aug 3 2013	Walmart
Bozeman, Montana	Parking Lot
$0	
Aug 2 2013	Walmart Supercenter
Sheridan, Wyoming	Parking Lot
$0	
Jul 28 2013	Roost Resort
Custer, South Dakota	Private RV Park
$30	
Jul 27 2013	Scottsbluff Walmart
Scottsbluff, Nebraska	Parking Lot
$0	
Jul 20 2013	Boyd Lake State Park
Loveland, Colorado	State Park
$18	
Jul 13 2013	Stillwater Campground
Granby, Colorado	National Forest
$22	
Jul 7 2013	Peak One Campground
Breckenridge, Colorado	National Forest
$18	
Jul 5 2013	Leadville Boondocking
Leadville, Colorado	National Forest Boondocking
$0	
Jun 30 2013	Silver Dollar Campground
Leadville, Colorado	National Forest
$18	
Jun 23 2013	Salida Boondocking
Salida, Colorado	BLM Boondocking
$0	
Jun 14 2013	Crested Butte Boondocking
Crested Butte, Colorado	National Forest Boondocking
$0	
Jun 9 2013	Rosy Lane Campground
Gunnison County, Colorado	National Forest
$18	
Jun 8 2013	Curecanti National Recreation Area
Gunnison, Colorado	National Forest
$12	
Jun 1 2013	Cedar Creek RV Park
Montrose, Colorado	Private RV Park
$34	
May 27 2013	Four J RV
Ridgway, Colorado	Private RV Park
$32	
May 25 2013	Haviland Lake Campground
Durango, Colorado	National Forest
$19	
May 10 2013	Forest Service Rd 316
Hesperus, Colorado	National Forest Boondocking
$0	
May 8 2013	La Mesa RV Park
Cortez, Colorado	Private RV Park
$20	
May 6 2013	Gooseneck State Park
San Juan County, Utah	State Park Boondocking
$0	
May 3 2013	BLM Boondocking
San Juan County, Utah	BLM Boondocking
$0	
Apr 30 2013	Devil's Canyon Campground
Monticello, Utah	National Forest
$10	
Apr 22 2013	Sand Flats Recreation Area
Moab, Utah	BLM Campground
$10	
Apr 8 2013	Goose Island Campground
Moab, Utah	BLM Campground
$15	
Apr 7 2013	Walmart Supercenter
Richfield, Utah	Parking Lot
$0	
Mar 27 2013	South Campground, Zion NP
Hurricane, Utah	National Park
$12	
Mar 26 2013	Zion River Resort
Virgin, Utah	Private RV Park
$47	
Mar 25 2013	Walmart Supercenter
Page, Arizona	Parking Lot
$0	
Mar 22 2013	Lone Rock Beach
Kane County, Utah	National Park
$10	
Mar 11 2013	Sedona Boondocking
Sedona, Arizona	National Forest Boondocking
$0	
Mar 8 2013	Usery Mountain Regional Park
Mesa, Arizona	County Park
$25	
Feb 24 2013	Lost Dutchman State Park
Apache Junction, Arizona	State Park
$15	
Feb 11 2013	Catalina State Park
Tucson, Arizona	State Park
$15	
Feb 4 2013	Gilbert Ray Campground
Tucson, Arizona	County Park
$20	
Jan 27 2013	Darby Well Rd
Ajo, Arizona	BLM Boondocking
$0	
Jan 18 2013	American Girl Mine Rd
Winterhaven, California	BLM Boondocking
$0	
Dec 28 2012	Anza-Borrego
Borrego Springs, California	State Park Boondocking
$0	
Dec 19 2012	Mission Bay RV Resort
San Diego, California	Private RV Park
$40	
Dec 16 2012	O'Neill Regional Park
Trabuco Canyon, California	County Park
$20	
Dec 7 2012	Sam's Family Spa Hot Water Resort
Desert Hot Springs, California	Private RV Park
$38	
Dec 3 2012	Mojave NP
San Bernardino County, California	National Park Boondocking
$0	
Dec 1 2012	Mojave NP
San Bernardino County, California	National Park Boondocking
$0	
Nov 23 2012	Govt Wash Rd
Boulder City, Nevada	BLM Boondocking
$0	
Nov 21 2012	Paris Las Vegas Resort
Las Vegas, Nevada	Parking Lot
$0	
Nov 20 2012	Afton Canyon
Baker, California	BLM Campground
$0	
Nov 19 2012	Brite Valley Aquatic Recreation Area
Tehachapi, California	City Park
$20	
Nov 17 2012	El Chorro Regional Park
San Luis Obispo, California	County Park
$23	
Nov 15 2012	Laguna Seca Raceway
Monterey, California	County Park
$25	
Nov 14 2012	New Brighton Beach State Park
Capitola, California	State Park
$35	
Nov 12 2012	Half Moon Bay State Beach
Half Moon Bay, California	State Park
$35	
Nov 7 2012	Sonoma County Fairgrounds
Santa Rosa, California	County Park
$23	
Nov 5 2012	Westside Regional Park
Bodega Bay, California	County Park
$30	
Nov 4 2012	Van Damme State Park
Little River, California	State Park
$35	
Nov 3 2012	Humboldt Redwoods State Park
Miranda, California	State Park
$35	
Nov 2 2012	Clam Beach State Campground
McKinleyville, California	State Park
